name,RABD670,TChl-a,locality,OC
RZE_37,1.00841,0,Rzezniki,

RZE_38,1.0189,0,Rzezniki,0.237643

20,1.25439,511.186906,Zabinski,

102,1.23831,397.6788,Zabinski,27.81655

678,1.57441,781.9825,Zabinski,20.94188

1296,1.91469,1518.44,Zabinski,22.84012

2056,1.4079,511.2066,Zabinski,25.82253

2516,1.1952,297.2067,Zabinski,33.33333

2696,1.17298,363.8601,Zabinski,36.02794

2896,1.18541,346.1824,Zabinski,31.66833

3106,1.15434,233.502,Zabinski,29.73241

3326,1.17988,273.8939,Zabinski,27.3

3596,1.1661,266.038,Zabinski,29.21236

3856,1.1735,298.3541,Zabinski,

4086,1.1633,209.7007,Zabinski,

4326,1.18101,189.4702,Zabinski,

4506,1.16056,155.8882,Zabinski,

4776,1.10365,87.30841,Zabinski,

5066,1.06673,53.94015,Zabinski,

5356,1.12963,155.6536,Zabinski,

5646,1.1382,126.4193,Zabinski,

5986,1.31048,369.7781,Zabinski,

6326,1.09992,73.47178,Zabinski,22.37443

7846,1.15083,135.3029,Zabinski,20.51621

8536,1.10103,128.0357,Zabinski,18.98657

9256,1.13239,186.8664,Zabinski,22.29987

9826,1.12009,145.2488,Zabinski,18.92706

10356,1.14589,188.8545,Zabinski,21.26984

10836,1.13074,201.7338,Zabinski,20.22352

11246,1.13201,183.1674,Zabinski,19.25926

11656,1.12816,196.8286,Zabinski,18.62302

12106,1.1374,247.5538,Zabinski,18.04187

12576,1.12475,164.2046,Zabinski,19.0659

13076,1.13954,229.4334,Zabinski,20.49577

13656,1.17329,161.8338,Zabinski,20.72403

14166,1.05678,135.8899,Zabinski,18.8734

14646,1.07279,120.9367,Zabinski,19.43533

15176,1.06135,94.27927,Zabinski,16.58323

15726,1.04254,130.8129,Zabinski,20.50087

16246,1.06243,169.8702,Zabinski,17.19637

16846,1.0747,160.2638,Zabinski,16.08833

18576,1.07465,119.4056,Zabinski,15.12758

19396,1.11431,74.77394,Zabinski,15.25626

CAD-1_vs_ace100_05.03 - RawData,1.25246,719.5791,Cadagno,

CAD-2_2_vs_ACE100_05.03.19 - RawData,1.20102,186.12979,Cadagno,

CAD-3_vs_ace100_05.03.19 - RawData,1.13375,416.6559,Cadagno,

CAD-4_vs_ace100_05.03.19 - RawData,1.2059,301.86593,Cadagno,

CAD-5_1_vs_ace100_05.03.19 - RawData,1.32587,431.59946,Cadagno,

CAD-5_2_vs_ace100_05.03.19 - RawData,1.32587,452.82987,Cadagno,

CAD-6_vs_ace100_06.03.19 - RawData,1.09496,51.70679,Cadagno,

CAD-7_r1_vs_ace100_06.03.19 - RawData,1.28373,414.02097,Cadagno,

CAD-7_r2_vs_ace100_06.03.19 - RawData,1.28373,293.58067,Cadagno,

CAD-8_vs_ace100_06.03.19 - RawData,1.29218,505.34742,Cadagno,

CAD-9_vs_ace100_06.03.19 - RawData,1.24453,515.17412,Cadagno,

CAD-10_r1_vs_ace100_06.03.19 - RawData,1.12858,31.404054,Cadagno,

CAD-10_r2_vs_ace100_06.03.19 - RawData,1.12858,30.062661,Cadagno,

CAD-11_r1_vs_ace100_06.03.19 - RawData,1.17702,231.42512,Cadagno,

CAD-11_r2_vs_ace100_06.03.19 - RawData,1.17702,232.47066,Cadagno,

CAD-12_vs_ace100_06.03.19 - RawData,1.11203,103.66094,Cadagno,

CAD-13_vs_ace100_06.03.19 - RawData,1.11804,82.558514,Cadagno,

CAD-14_vs_ace100_06.03.19 - RawData,1.06394,10.927885,Cadagno,

CAD-15_vs_ace100_06.03.19 - RawData,1.06354,2.6969874,Cadagno,

CAD-16_vs_ace100_06.03.19 - RawData,1.15523,442.75263,Cadagno,

CAD-17_vs_ace100_06.03.19 - RawData,1.17844,528.82676,Cadagno,

CAD-18_vs_ace100_06.03.19 - RawData,1.19555,761.79813,Cadagno,

CAD-19_vs_ace100_06.03.19 - RawData,1.30081,996.3232,Cadagno,

CAD-20_r1_vs_ace100_06.03.19 - RawData,1.35071,1255.7912,Cadagno,

CAD-20_r2_vs_ace100_06.03.19 - RawData,1.35071,1264.8283,Cadagno,

CAD-21_r1_vs_ace100_06.03.19 - RawData,1.06127,149.40155,Cadagno,

CAD-21_r2_vs_ace100_06.03.19 - RawData,1.06127,153.83557,Cadagno,

CAD-22_vs_ace100_06.03.19 - RawData,1.20533,0.0042368,Cadagno,
